amount,hour,transactions_last_24h,device_changed,location_changed,account_age_days,failed_attempts,previous_fraud_count,merchant_risk,is_new_payee,fraud
424.1,3,4,0,0,1163,1,0,2,0,0
781.31,2,1,0,0,1945,1,0,2,1,0
2540.99,21,4,0,0,437,0,0,9,1,0
194.94,12,1,0,0,1506,0,0,6,0,0
1693.28,17,4,0,0,275,1,0,8,0,0
1390.94,17,1,0,0,2031,1,0,1,0,0
605.38,2,4,1,0,50,0,0,3,1,1
258.25,14,4,0,0,835,0,0,2,0,0
1178.66,20,5,0,0,2391,0,0,10,1,0
645.81,10,2,0,0,1456,0,0,2,0,0
1383.92,20,1,0,0,990,1,1,4,0,0
1120.86,22,0,0,0,2213,0,0,2,0,0
5441.33,13,5,0,0,326,0,0,2,0,0
863.2,2,1,0,0,1048,1,0,5,0,0
394.06,14,3,0,0,1899,0,0,9,0,0
1311.96,21,2,0,0,2056,0,1,7,0,0
1366.48,13,2,0,0,1684,0,0,3,0,0
4269.22,19,1,0,0,1825,0,0,5,0,0
2527.82,12,4,0,0,323,0,0,10,0,0
1566.93,10,5,0,0,828,0,0,9,0,0
4737.68,22,3,0,0,1873,0,0,1,0,0
334.03,3,1,0,0,1621,0,0,6,0,1
578.39,10,3,0,0,2390,0,0,5,0,0
434.16,3,1,0,0,1103,0,0,9,0,0
742.62,15,2,0,0,2419,1,0,7,0,0
276.81,22,8,0,0,876,0,0,7,1,0
2069.68,23,3,0,0,444,0,0,5,0,0
878.11,5,1,0,0,1742,0,0,2,1,0
251.94,17,4,1,1,2179,1,0,4,0,0
397.19,20,5,0,0,389,0,0,10,0,0
1500.44,20,3,0,0,2234,0,0,2,0,0
2535.45,12,5,0,0,1647,1,0,4,1,0
8076.64,4,3,1,0,1158,0,0,7,0,0
20208.58,11,6,0,0,385,0,0,5,1,0
1659.73,18,2,0,0,517,2,0,1,0,0
407.67,14,1,0,0,1222,0,1,10,0,0
130.05,9,3,0,0,906,2,0,7,1,1
1433.27,5,5,0,0,1900,0,0,5,0,0
486.41,15,4,0,0,833,0,0,8,0,0
723.89,10,5,1,0,1661,0,0,3,0,0
594.61,11,4,0,0,1184,0,0,9,0,0
952.61,22,2,0,0,951,0,0,4,0,0
3184.28,0,1,1,0,2073,0,0,1,0,0
1283.12,5,0,0,0,1125,1,0,2,1,0
935.77,22,2,0,0,1158,0,0,8,0,0
389.3,22,1,0,1,614,0,0,2,0,0
205.47,7,1,0,0,1627,0,0,8,0,0
674.31,23,3,0,1,1036,1,1,7,0,0
1039.21,5,4,0,1,51,0,0,5,0,0
6424.86,1,2,1,0,2261,2,1,10,0,0
1249.22,7,4,1,0,1149,1,1,1,0,0
2929.95,12,6,0,0,2107,0,0,7,0,0
665.61,0,3,0,0,115,0,0,2,0,0
335.31,4,1,0,0,245,0,0,9,0,0
417.75,18,1,0,0,939,0,0,10,0,0
531.01,14,4,0,1,457,0,0,4,0,0
9213.91,14,2,0,0,78,0,0,1,0,0
482.32,23,2,1,0,93,0,0,6,0,1
2536.37,5,2,0,1,1689,0,0,4,0,0
444.55,21,4,0,0,1040,0,0,1,1,0
2783.8,8,6,0,0,395,1,0,4,1,0
1611.55,22,4,0,0,2071,0,0,4,0,0
937.64,18,4,0,0,995,0,1,3,0,0
1052.83,5,4,1,0,1446,1,0,1,0,0
569.76,5,1,0,0,706,0,0,9,0,0
1713.12,13,3,0,0,589,0,0,8,1,1
695.77,12,2,0,0,2425,0,0,7,0,0
321.95,5,2,0,0,985,0,0,9,0,0
305.53,6,5,0,0,2092,0,0,6,0,0
1303.21,21,2,0,0,234,1,0,6,0,0
5319.27,18,2,0,0,621,0,0,5,0,0
1286.9,4,2,0,0,960,0,1,3,1,0
973.95,17,3,0,0,966,0,0,2,0,0
1459.47,3,0,0,0,936,0,0,2,1,0
4048.1,10,2,0,0,1124,0,0,7,0,0
1365.65,0,2,0,0,669,1,1,1,0,0
727.11,15,6,0,0,1743,1,0,7,0,0
3315.25,4,3,0,0,526,0,0,7,1,0
1683.71,5,7,0,1,1828,1,0,10,0,1
5093.68,4,2,1,0,540,0,0,4,0,0
1317.16,4,3,0,0,1425,0,0,8,0,0
322.32,1,2,0,0,360,0,0,10,0,0
279.18,13,4,0,0,1500,0,0,8,0,0
5715.45,20,2,1,0,344,2,0,8,1,1
6146.67,7,1,0,0,821,0,0,10,0,0
916.43,18,7,0,0,2447,1,0,8,0,0
747.56,13,2,0,0,431,1,1,3,1,0
4728.88,6,4,0,0,1632,1,0,2,1,0
362.47,1,3,0,0,2453,0,0,1,1,0
448.21,18,2,0,0,1603,0,0,4,0,0
2086.67,0,2,0,0,1113,0,0,10,0,0
739.07,10,3,0,0,984,1,1,7,0,0
1091.03,0,5,0,0,934,0,0,2,1,0
931.28,18,9,0,0,419,2,0,4,0,0
1536.98,23,0,0,0,1045,1,0,9,0,0
4480.46,7,2,0,0,1220,0,0,5,0,0
1200.61,7,2,0,0,1082,0,0,8,0,0
2087.95,13,3,0,0,938,0,0,7,0,0
141.15,12,3,0,0,2424,1,0,3,0,0
1044.49,9,2,0,0,607,1,0,4,1,0
471.9,8,3,1,0,2066,0,1,9,0,0
324.14,4,1,0,0,1900,0,0,4,0,0
455.71,6,1,0,0,1877,0,0,4,0,0
785.15,14,3,0,0,584,1,0,7,0,0
2740.52,17,2,0,0,2382,0,0,6,1,0
291.08,18,2,0,0,1798,1,0,5,1,0
1130.74,12,3,0,0,1,0,0,8,0,0
675.75,18,1,0,0,316,1,0,2,0,0
790.23,14,3,0,0,1609,2,0,3,0,0
2989.19,8,2,0,0,1246,0,0,9,0,0
1878.29,8,2,0,0,1372,0,1,2,0,1
4177.21,12,3,0,0,1695,0,0,6,0,0
939.64,7,6,1,0,1335,0,0,2,0,0
546.79,18,1,0,0,1720,0,0,10,0,0
876.68,4,7,0,0,381,0,0,7,0,0
1397.58,1,2,0,0,2449,1,0,4,0,0
1308.42,11,5,0,0,1169,0,0,1,0,0
370.78,1,2,0,0,1132,0,0,6,0,0
1200.5,4,3,0,0,2408,0,0,1,0,0
1377.78,9,6,0,0,945,0,0,7,0,0
13595.23,0,4,0,0,1630,0,0,9,0,0
7164.15,5,3,0,0,1861,1,0,9,0,0
467.2,13,3,0,0,1397,1,0,8,0,0
822.72,8,8,0,0,161,2,0,10,1,0
253.8,21,4,0,0,586,2,0,10,1,0
607.46,2,4,1,0,1229,0,0,5,1,1
1503.58,17,3,0,0,1698,0,0,1,1,0
3662.33,14,4,0,0,2177,0,0,6,0,0
528.96,15,7,0,0,380,1,1,4,1,1
570.12,16,1,0,0,663,0,0,5,0,0
128.09,1,3,0,0,1388,1,0,1,1,0
932.0,19,0,0,0,1256,1,0,2,0,0
379.02,7,2,0,0,235,0,0,6,0,0
645.85,15,5,0,0,405,0,0,9,0,0
456.29,7,3,0,1,1178,0,0,3,0,0
997.98,9,5,0,0,2362,0,0,1,0,0
189.1,16,0,0,0,191,0,0,10,0,0
252.89,22,2,0,0,2122,1,0,8,0,0
9221.08,21,3,1,0,2058,0,1,5,0,0
302.65,17,1,1,0,1915,0,0,8,0,0
366.21,12,3,1,0,389,0,0,7,0,0
6883.71,12,4,0,0,368,0,0,10,0,0
20031.62,23,4,0,0,869,1,0,3,0,0
339.83,4,0,0,0,1259,1,0,5,0,0
758.81,22,2,0,1,1675,0,0,7,0,0
1543.11,15,1,0,0,535,0,0,5,0,0
6177.68,14,0,0,0,2081,1,0,8,0,0
408.77,14,4,0,0,2294,1,0,10,0,0
858.1,19,3,0,0,2175,0,0,6,0,0
2385.91,16,3,0,0,2324,0,0,5,0,0
1693.86,2,0,1,0,2447,0,0,2,0,0
752.83,18,2,0,0,1825,0,0,3,1,0
959.27,17,1,0,1,222,0,0,1,0,1
277.3,21,4,0,0,1646,0,0,2,0,0
864.22,22,5,0,0,1751,0,0,6,0,0
840.18,22,3,0,0,609,0,0,1,0,0
1383.22,1,4,0,0,38,0,0,8,0,0
629.34,15,2,0,0,183,0,0,3,0,0
1757.31,22,2,0,0,1970,0,1,5,0,0
3019.11,23,3,0,0,2095,1,0,8,0,0
1281.04,13,1,1,0,169,2,0,4,0,1
1558.93,21,5,0,0,596,0,0,4,0,0
1156.5,21,6,0,0,1474,0,0,6,0,0
1096.73,0,5,0,0,668,0,0,7,1,0
532.96,21,1,1,0,1398,2,0,6,1,0
1504.92,15,2,0,0,643,0,0,2,0,0
994.97,13,3,0,0,1342,1,0,6,0,0
8894.32,4,1,0,0,870,0,0,5,1,0
5288.84,22,6,0,0,163,0,0,8,0,0
1612.99,7,7,0,0,811,0,0,2,0,0
511.29,10,5,0,0,1763,0,0,3,0,0
360.53,7,1,0,0,641,0,0,8,0,0
3608.84,23,3,0,0,694,0,0,6,0,0
1426.17,11,4,0,0,321,0,0,8,0,0
1772.49,2,1,0,0,311,0,0,1,0,0
191.6,0,4,0,0,1940,1,0,7,0,0
2772.32,23,2,0,1,33,0,1,1,0,0
1727.48,5,7,0,0,2358,0,0,1,0,0
361.25,18,4,0,0,2490,0,0,1,0,0
684.35,0,3,0,0,379,2,0,9,0,1
1427.55,21,7,0,0,1867,0,1,8,0,0
1155.71,15,2,0,0,1441,0,0,7,1,0
818.79,5,5,1,0,2155,0,0,2,0,0
988.82,21,5,1,0,1099,0,0,9,0,0
852.37,7,0,0,0,196,0,0,2,0,0
1277.38,23,2,0,0,1122,0,1,9,0,0
4776.64,14,2,0,0,157,0,0,4,0,0
84.21,10,4,0,0,1889,0,0,8,0,0
865.36,1,4,0,0,844,0,0,1,1,0
1308.34,6,3,0,0,1885,0,0,8,0,0
1474.38,1,2,0,0,1798,0,0,6,0,0
756.03,20,2,0,0,157,0,0,7,0,0
189.29,2,5,0,0,1466,0,0,9,0,0
1522.33,2,1,0,0,2229,0,0,7,0,0
6169.36,2,4,1,0,1812,0,0,7,0,1
236.55,23,4,0,0,34,1,0,3,1,1
2601.46,23,5,0,0,1185,1,0,5,1,0
789.56,17,4,0,0,1096,0,0,7,1,0
1031.4,1,2,1,0,112,0,0,8,0,0
382.64,12,3,0,0,235,0,0,9,1,0
784.89,22,5,0,0,1666,0,0,9,0,0
4024.05,2,3,1,0,1665,0,0,3,0,0
1963.84,19,3,0,0,1345,0,0,8,1,0
6200.04,0,3,0,0,1040,2,0,5,0,0
3559.63,19,1,0,0,604,1,0,5,0,0
1701.2,13,4,0,0,350,0,0,5,0,0
6272.53,21,5,0,0,1906,0,0,6,0,0
1701.04,9,4,0,0,845,1,0,7,0,0
2509.87,18,1,0,0,1726,0,0,1,0,0
815.2,20,4,0,0,649,1,0,7,1,0
1172.09,7,3,0,0,1116,0,0,4,0,0
545.98,15,1,0,0,1634,0,1,7,0,0
2950.07,11,2,0,0,1812,0,1,10,1,0
337.54,10,1,0,0,1673,0,0,2,0,0
2397.9,19,2,0,0,1622,1,0,3,0,0
906.28,5,1,0,0,1373,0,0,10,0,0
3537.75,2,0,0,0,2200,0,0,7,0,0
2323.59,11,2,0,0,1947,1,0,2,0,0
6772.64,19,8,0,0,34,0,0,9,0,0
2277.37,3,3,1,1,56,0,0,3,0,0
227.68,8,2,0,0,1963,0,0,7,0,0
1025.61,16,2,0,1,1640,0,0,7,0,0
339.68,11,2,0,0,398,0,0,7,1,1
653.09,14,2,0,0,1633,0,0,7,1,0
4970.26,12,3,0,0,517,1,1,7,1,0
2074.62,19,4,0,0,1156,1,1,2,1,0
545.15,21,4,1,0,288,0,0,7,0,0
397.93,10,4,1,0,2095,3,0,4,0,0
1133.18,10,3,0,0,5,0,0,6,0,0
324.87,6,3,0,0,185,1,0,8,1,1
560.52,10,5,0,0,2431,1,0,2,1,0
1498.18,20,0,0,0,1902,0,0,6,0,0
3481.83,12,1,0,0,674,0,0,7,0,0
2015.78,16,6,1,0,785,1,0,10,0,1
110.91,10,6,0,0,304,0,0,1,0,0
1486.78,16,2,0,1,79,0,0,5,0,0
1178.54,17,0,0,0,145,1,0,3,0,0
1658.87,12,4,0,0,59,1,0,4,0,0
5520.42,22,4,0,0,2011,2,0,3,0,0
139.32,21,3,1,0,612,0,0,7,1,1
607.22,3,2,1,0,1158,0,0,2,0,0
1980.11,5,2,0,1,1466,0,0,6,0,0
225.52,22,4,0,0,1714,0,0,5,1,0
4797.97,9,1,0,0,1541,0,0,6,0,0
1585.03,7,3,0,0,1226,0,0,10,0,0
2556.98,19,4,0,0,286,0,0,4,0,0
619.59,14,3,0,0,1132,0,0,10,0,0
2474.43,3,1,0,0,725,2,0,5,1,0
3192.22,2,2,0,0,698,1,0,1,0,0
1384.2,19,5,0,0,258,0,0,1,0,0
1386.31,18,1,1,0,516,2,0,6,0,0
1437.04,8,1,0,0,2091,0,0,3,0,0
462.5,20,3,1,0,1398,1,0,7,0,1
946.22,3,4,0,0,2132,1,0,1,0,0
941.5,20,2,0,0,1960,2,0,9,0,0
1609.04,1,2,0,0,511,0,0,10,0,0
2980.43,15,5,0,0,2484,0,0,6,0,0
380.49,20,3,0,0,2246,0,0,5,0,0
967.77,14,3,0,0,1717,0,1,10,1,0
4824.47,18,3,0,0,206,0,0,10,0,0
521.34,8,6,0,0,1876,0,0,3,0,0
481.91,6,2,1,0,1345,0,1,5,0,0
1342.52,6,1,1,0,2258,1,0,5,0,0
2551.37,2,3,0,0,1793,0,0,1,0,0
1109.24,6,1,0,0,28,1,0,7,0,0
4142.11,5,4,0,0,1001,0,0,8,1,0
2583.23,18,1,0,0,171,1,0,8,0,0
2544.83,5,6,0,0,239,1,0,7,0,0
1908.58,3,4,0,0,24,0,0,9,0,0
11244.71,17,1,0,0,1911,1,0,7,1,1
893.22,12,2,0,0,598,0,0,8,0,0
147.89,5,1,1,0,1968,0,0,10,0,0
5454.82,16,1,0,0,1843,1,0,4,1,0
693.88,5,3,0,0,819,0,0,9,0,0
1221.56,18,1,0,0,1629,1,0,8,1,0
4062.49,0,4,0,0,55,0,0,7,0,1
220.91,14,3,0,0,502,1,0,6,0,1
313.67,14,3,0,0,2300,0,0,4,0,0
221.12,8,3,0,0,94,0,0,7,0,0
495.65,16,2,0,0,204,1,0,9,0,0
1702.13,9,3,0,0,1612,0,0,8,1,0
1852.31,15,4,0,1,654,0,0,6,1,0
1445.59,5,2,0,0,685,2,0,2,1,0
267.0,13,4,0,0,1089,0,0,10,0,0
108.84,18,2,0,0,2392,0,0,10,1,0
1157.89,23,3,0,0,1115,0,0,1,0,0
684.18,8,8,0,0,964,2,0,5,0,0
1736.08,11,2,0,0,1305,0,1,9,0,0
2212.67,11,8,0,0,1405,0,0,7,0,0
1259.21,20,4,0,0,527,1,0,2,0,0
2345.22,23,4,0,0,192,0,0,6,0,0
1379.13,15,1,0,0,971,0,0,6,0,1
1863.23,19,7,0,0,1313,1,0,3,0,0
542.03,2,3,0,0,2330,0,0,7,1,0
916.34,18,3,1,0,714,0,0,2,0,0
1335.12,19,2,0,0,2215,1,0,8,1,0
2491.22,17,1,0,0,1039,1,0,9,0,0
739.71,14,2,0,0,228,2,0,7,0,0
1846.72,21,3,0,0,89,1,0,5,1,0
840.64,15,7,0,0,1953,0,0,5,0,0
975.02,20,1,0,0,1321,0,0,7,0,0
2513.72,4,3,0,0,1377,0,1,5,0,0
149.45,15,5,0,0,1956,0,0,4,0,0
299.92,10,0,0,0,84,0,0,9,1,0
249.09,20,3,0,0,203,2,0,5,1,0
106.31,21,1,0,0,1971,1,0,6,0,0
556.54,20,1,0,0,1028,1,0,4,0,0
2320.26,5,4,0,0,388,0,0,5,0,0
824.78,11,0,0,0,1831,0,0,4,1,0
1336.47,0,7,0,0,609,0,0,2,1,0
3259.14,23,3,0,0,1281,0,0,1,0,0
4136.83,6,1,0,0,189,1,0,4,1,0
1023.38,14,3,0,0,699,0,0,8,0,1
4245.38,11,1,0,0,1914,0,0,5,1,0
1202.46,21,2,0,1,64,1,0,8,0,0
474.66,19,7,0,0,1765,0,0,10,0,0
605.22,18,1,0,0,94,0,0,2,0,0
249.5,15,0,1,0,2089,0,0,5,0,0
451.18,2,5,0,0,2174,0,0,6,0,0
766.61,22,2,0,0,1267,0,0,1,1,0
2449.37,1,6,0,0,2027,0,0,4,0,0
6128.9,10,4,0,0,1078,0,0,2,1,0
275.29,9,3,0,0,1685,0,0,8,0,0
1624.29,9,5,0,0,1378,0,2,3,0,1
387.4,23,1,0,0,1355,1,0,7,0,0
1762.87,5,5,0,0,19,1,0,2,0,0
961.9,13,4,0,0,1511,1,0,10,0,0
175.76,5,3,0,0,1944,0,0,4,0,0
2774.7,21,2,0,0,2418,1,0,10,0,0
598.84,17,4,0,0,2071,0,0,4,0,0
642.97,9,2,0,1,955,0,0,1,0,0
376.25,1,5,0,0,149,1,0,6,0,0
570.05,3,3,0,0,113,0,0,6,0,0
1682.26,5,2,1,0,2274,0,0,2,0,0
907.56,9,4,0,0,1750,1,0,9,1,0
1523.34,21,2,0,0,1029,0,0,1,0,0
1574.86,2,2,0,0,199,0,0,5,0,0
4107.88,13,2,0,0,591,0,0,10,0,0
778.38,8,3,1,0,515,0,1,1,1,0
250.42,1,4,0,0,98,0,0,8,1,0
3188.23,14,1,0,0,659,1,0,5,0,0
787.22,16,5,0,0,2452,0,0,3,0,0
3342.89,23,0,0,0,2281,0,0,10,0,0
1609.01,12,0,0,0,1660,2,0,7,0,0
961.85,7,4,0,0,709,0,0,2,1,0
1554.29,20,0,0,0,1541,0,0,10,0,0
7715.7,5,3,0,0,529,0,0,7,0,0
8751.5,16,2,0,0,367,0,0,2,0,0
1175.42,22,1,0,0,604,1,0,5,1,0
1287.16,0,1,0,0,2007,0,0,10,0,0
3217.11,22,6,0,0,2054,0,0,2,0,0
470.76,4,4,0,0,1474,1,0,7,0,0
1530.07,11,0,0,0,2201,0,0,7,0,0
1068.63,6,1,0,0,890,0,0,4,1,0
1501.03,3,2,0,0,94,0,0,2,1,0
476.58,16,1,0,0,1565,1,0,9,0,0
223.73,11,6,0,0,1857,0,0,4,0,0
137.97,12,1,0,1,348,1,0,8,0,0
358.75,11,3,0,0,285,1,0,1,1,0
693.2,17,3,0,0,1062,0,0,2,0,0
817.96,23,3,0,0,1596,0,0,10,1,0
7610.1,12,6,0,0,393,0,0,2,0,0
3314.27,3,1,0,1,1651,0,0,2,0,0
419.02,7,4,0,1,287,0,0,3,1,0
1552.63,11,0,0,0,780,0,1,2,0,0
729.91,2,1,0,0,2485,0,0,7,0,0
825.21,5,2,0,0,131,1,0,3,0,0
1319.92,4,2,0,0,714,0,0,5,0,0
2036.87,23,3,0,0,771,1,0,4,0,0
781.13,9,7,0,0,29,1,0,7,0,0
3177.5,21,4,1,0,1655,0,0,10,0,1
350.05,13,4,0,0,547,0,0,8,0,0
1103.61,12,2,0,0,931,0,0,6,0,0
14730.47,22,7,0,0,916,0,0,2,0,0
1370.7,16,2,0,0,2058,0,0,3,0,0
4597.25,5,5,0,0,33,0,0,3,0,0
1201.73,6,4,0,0,1073,1,0,2,1,0
1960.15,15,5,0,0,1570,0,0,4,1,0
1036.1,0,3,0,0,2158,1,1,4,0,0
924.81,3,7,0,0,1305,0,0,2,0,0
502.96,1,2,0,0,376,0,0,6,0,0
1686.32,17,7,0,0,852,0,0,10,0,0
468.0,10,7,0,0,725,0,0,5,0,0
2133.64,0,1,1,0,2220,0,0,6,0,0
3246.35,17,4,0,0,1673,0,0,2,1,0
1582.14,15,5,0,0,608,0,0,3,1,0
823.65,17,2,0,0,1717,0,0,6,1,0
1726.7,3,1,0,0,229,0,0,4,0,0
805.39,20,1,0,0,1944,1,0,2,0,0
2794.89,4,4,0,0,260,0,0,3,0,0
175.67,13,0,1,0,131,0,0,8,0,0
783.99,13,2,0,0,1980,0,0,10,0,0
149.78,5,3,1,1,1350,0,0,6,0,1
245.9,9,4,0,0,852,2,0,9,0,0
4289.23,1,2,0,0,511,0,0,9,0,0
2684.33,11,2,0,0,2256,0,0,4,0,0
534.07,16,2,0,0,1665,1,0,6,0,0
244.08,7,2,0,0,202,0,0,9,1,0
56.57,12,2,0,0,579,0,0,6,0,0
636.83,22,1,0,0,1351,1,0,8,1,1
12337.7,5,5,0,0,1572,1,0,7,0,0
1694.06,6,3,0,0,728,1,0,10,0,0
626.67,2,1,0,0,200,0,0,4,1,0
1746.0,13,3,0,1,2353,0,0,3,0,0
230.22,4,6,0,0,2215,0,0,2,0,0
814.58,20,2,1,0,1192,0,0,1,0,0
1211.33,6,0,0,0,690,0,0,8,0,0
1006.16,15,2,1,0,681,1,0,7,1,1
2418.27,4,5,0,0,484,0,0,2,1,0
1547.89,7,6,0,0,80,0,0,8,1,0
2139.5,4,3,0,1,2497,2,0,3,0,0
550.94,13,2,0,0,1222,1,0,1,1,0
2691.4,0,2,0,0,574,0,0,1,0,0
5591.13,1,2,0,1,388,0,0,7,1,0
415.65,12,6,0,0,1230,0,0,3,0,0
451.38,13,2,0,0,187,0,0,9,0,0
4170.47,7,3,0,1,2076,0,1,8,0,1
905.65,10,1,0,0,377,1,0,7,0,0
4464.09,9,3,0,0,2340,0,0,8,0,0
704.48,18,0,0,0,1307,2,0,7,0,1
4698.72,10,3,1,0,1095,0,0,5,0,0
1250.73,20,2,0,0,617,0,0,7,1,0
1419.74,5,3,0,0,1524,0,0,5,0,0
5243.36,4,3,0,0,1057,1,0,7,1,0
763.74,9,6,0,0,744,0,0,10,0,1
427.9,1,4,0,0,1308,1,0,8,0,0
700.25,16,4,0,0,104,0,0,4,0,0
1723.88,9,3,0,0,123,1,0,7,0,0
229.12,8,3,0,0,2475,0,2,4,0,1
2074.49,12,1,0,0,1391,1,0,5,0,0
639.85,1,3,0,1,2174,1,0,10,0,0
3455.81,9,3,0,0,1124,1,0,4,0,0
100.06,23,1,0,0,2222,0,0,1,0,0
499.41,15,5,0,0,1390,0,0,5,0,0
203.07,13,5,0,0,1578,0,0,10,1,0
479.99,12,4,0,0,1748,1,0,3,0,0
1404.82,11,5,0,0,604,0,0,4,0,0
916.69,22,3,1,0,1776,0,0,8,0,0
851.18,22,4,0,0,167,0,2,2,0,0
935.25,9,2,0,0,1739,0,0,2,1,0
1343.98,22,4,0,0,1231,0,0,8,0,0
400.0,1,2,0,0,189,0,1,10,0,1
2223.53,7,8,0,0,597,0,0,3,0,0
2127.42,7,4,0,0,2261,1,0,4,0,0
1611.69,16,8,0,0,1163,0,0,7,0,0
1913.2,14,3,0,0,2025,0,0,3,1,0
